year,zip_code,is_brand,volume_sold,sale_dollars
2012,50322,0,171041.41,2429162.74
2012,50322,1,1081.24,37488.89
2012,50323,0,2826.84,39163.13
2012,50323,1,16.87,604.32
2012,50324,0,3210.87,46105.33
2012,50324,1,43.8,1637.16
2012,50325,0,52786,703265.6
2012,50325,1,259.75,9261.42
2012,50401,0,304871.78,3676029.77
2012,50401,1,1272.11,43728.94
2012,50421,0,22559.27,269925.09
2012,50421,1,76.12,2592.12
2012,50423,0,10900.44,101821.83
2012,50424,0,4569.35,52386.13
2012,50424,1,21,748.88
2012,50428,0,121900.14,1521315.29
2012,50428,1,819.68,27257.2
2012,50435,0,5836.08,75772.43
2012,50435,1,15.75,502.5
2012,50436,0,40306.17,462435.06
2012,50436,1,113.5,3730.56
2012,50438,0,13637.5,153451.5
2012,50438,1,45,1597.88
2012,50441,0,38976.63,472400.83
2012,50441,1,139.32,4710
2012,50450,0,8929.9,107902.47
2012,50450,1,24.75,828.52
2012,50458,0,2161.95,23413.45
2012,50459,0,13919.81,165835.97
2012,50459,1,15,536.2
2012,50461,0,19398.46,221893.45
2012,50461,1,72.75,2403.79
2012,50466,0,2945.25,32645.61
2012,50466,1,7.5,259.74
2012,50469,0,8646.01,97859.75
2012,50469,1,49,1600.34
2012,50472,0,14499.99,174348.96
2012,50472,1,65,2122.9
2012,50475,0,1790.35,19701.92
2012,50475,1,9,323.52
2012,50483,0,16763.81,207008.99
2012,50483,1,30,993.28
2012,50501,0,239496.3,3003247.65
2012,50501,1,2054.08,69780.46
2012,50511,0,75431.04,896186.35
2012,50511,1,183.46,6272.34
2012,50514,0,7710.97,89805.79
2012,50514,1,2.75,92.28
2012,50517,0,20523.86,275957
2012,50517,1,87.71,3114.02
2012,50525,0,10338.46,120501.99
2012,50525,1,18,647.04
2012,50529,0,568.28,7996.02
2012,50530,0,3919.19,45899.45
2012,50530,1,5,163.3
2012,50533,0,22826.66,266095.57
2012,50533,1,70.74,2374.75
2012,50535,0,492.49,8300.16
2012,50536,0,45934.33,552556.66
2012,50536,1,114.75,3927.54
2012,50540,0,1229.7,15233.7
2012,50541,0,1479.48,17851.41
2012,50542,0,1222.8,14415.96
2012,50543,0,3834.03,37664.4
2012,50543,1,7.25,244.18
2012,50548,0,49564.88,605094.03
2012,50548,1,90.25,3173.08
2012,50554,0,11923.15,130579.27
2012,50563,0,10842.01,125804.11
2012,50563,1,20,682.78
2012,50569,0,1403.1,16174.48
