year,zip_code,is_brand,volume_sold,sale_dollars
2012,50002,0,2794.4500000000003,43792.390000000007
2012,50002,1,885.35,10350.27
2012,50003,0,16488.17,231228.7399999999
2012,50003,1,5622.67,48003.639999999985
2012,50006,0,6339.59,76869.63
2012,50006,1,1283.6100000000001,19508.930000000004
2012,50009,0,115790.91000000005,1617482.0500000021
2012,50009,1,37075.069999999992,448964.13999999978
2012,50010,0,338382.33999999956,4863270.61999998
2012,50010,1,127458.48000000003,1488561.7000000027
2012,50014,0,45086.740000000005,642877.06000000075
2012,50014,1,18445.21,197714.68999999992
2012,50015,1,2167.79,22604.42
2012,50015,0,4858.72,69215.099999999991
2012,50020,1,1460.0,15604.88
2012,50020,0,3909.49,47085.510000000009
2012,50021,0,163836.0400000001,2272259.0600000024
2012,50021,1,46577.259999999995,533014.99000000034
2012,50022,0,63020.530000000021,858205.7900000005
2012,50022,1,18439.210000000003,201880.26999999981
2012,50023,0,40633.749999999985,588933.950000001
2012,50023,1,11904.21,150203.38999999998
2012,50025,0,10503.000000000002,114532.20999999999
2012,50025,1,2635.74,25671.16
2012,50028,1,531.0,4622.35
2012,50028,0,2108.5,26332.96
2012,50033,1,631.31999999999994,6623.36
2012,50033,0,2273.2,35601.82
2012,50035,0,2175.66,31708.280000000002
2012,50035,1,400.47,6376.1499999999987
2012,50036,0,68494.090000000011,860577.69000000006
2012,50036,1,18818.55,197407.29999999993
2012,50044,1,289.5,2217.18
2012,50044,0,1453.2,15193.739999999998
2012,50046,0,1726.7700000000002,23871.3
2012,50046,1,392.16000000000008,3726.67
2012,50048,0,1076.7,17689.069999999996
2012,50048,1,474.35999999999996,4913.53
2012,50049,0,16413.22,217601.12
2012,50049,1,5559.0,51807.38999999997
2012,50054,0,7060.4900000000007,85868.180000000008
2012,50054,1,2678.75,22581.250000000004
2012,50056,0,2171.9999999999995,28102.14
2012,50056,1,228.6,2656.08
2012,50058,0,2172.0,26014.14
2012,50058,1,807.3,8718.3000000000011
2012,50060,0,9467.68,134782.30999999991
2012,50060,1,2464.7699999999995,26953.85
2012,50069,0,3789.0100000000007,59367.689999999995
2012,50069,1,1438.0500000000002,13775.94
2012,50071,0,1582.1999999999998,16838.04
2012,50071,1,108.3,1383.1799999999998
2012,50075,0,3101.17,41367.329999999994
2012,50075,1,1083.6999999999998,9774.369999999999
2012,50076,1,186.15,2812.2000000000003
2012,50076,0,1776.3,20561.46
2012,50107,0,1454.88,19238.879999999997
2012,50107,1,156.6,2060.0299999999997
2012,50111,0,54938.519999999982,778408.86999999953
2012,50111,1,18586.190000000002,205728.92
2012,50112,0,49633.509999999995,713224.090000001
2012,50112,1,19530.820000000003,206571.61000000002
2012,50115,0,6159.2500000000009,74402.879999999976
2012,50115,1,1221.98,12110.53
2012,50122,0,3490.88,37889.8
2012,50122,1,750.5,7122.7099999999991
2012,50124,0,2140.8099999999995,27520.269999999997
2012,50124,1,251.7,3721.62
2012,50125,1,25789.43,271501.78999999992
2012,50125,0,85751.640000000043,1177102.7500000014
2012,50126,0,49648.499999999993,680624.35000000056
2012,50126,1,13107.12,143410.33999999997
2012,50129,0,29961.640000000014,364955.6700000001
2012,50129,1,11828.090000000002,104256.25000000001
2012,50130,1,126.17000000000002,1917.8700000000001
2012,50130,0,1617.06,18931.23
2012,50131,0,70691.250000000058,1024833.340000003
2012,50131,1,21438.680000000011,264268.06000000011
2012,50136,1,803.06000000000006,7905.03
2012,50136,0,1528.6299999999999,23385.850000000002
2012,50138,0,39783.869999999988,527562.89000000025
2012,50138,1,15536.67,158503.64999999988
2012,50140,0,3714.58,57477.170000000006
2012,50140,1,1648.3100000000002,17704.95
2012,50142,0,3158.54,43069.329999999987
2012,50142,1,1099.02,10947.470000000001
2012,50144,0,5188.3,69307.5
2012,50144,1,863.74,8173.6399999999985
2012,50150,1,29.32,436.11
2012,50150,0,244.33999999999997,4088.13
2012,50156,0,4279.25,51099.12
2012,50156,1,2059.87,20652.36
2012,50158,0,135088.06000000003,1984350.4000000015
2012,50158,1,64988.079999999994,663345.28000000014
2012,50161,0,2027.3999999999996,25373.259999999995
2012,50161,1,145.65,1761.55
2012,50162,0,520.5,7413.18
2012,50162,1,441.0,3089.9999999999995
2012,50163,0,7762.5499999999993,117519.21999999996
2012,50163,1,1387.7599999999998,15308.23
2012,50170,0,3124.29,44115.039999999994
2012,50170,1,1992.57,16424.62
2012,50171,0,12772.75,189936.61000000002
2012,50171,1,5373.85,50451.780000000006
2012,50174,0,89.61,1210.25
2012,50174,1,27.75,241.63
2012,50201,1,8106.18,84058.680000000008
2012,50201,0,25942.289999999986,338331.47999999992
2012,50208,0,78797.760000000038,1118932.2500000019
2012,50208,1,34590.140000000014,333198.95000000007
2012,50210,0,2157.18,30539.039999999997
2012,50210,1,387.84000000000003,4234.69
2012,50211,1,8498.68,83252.699999999983
2012,50211,0,23988.899999999998,310312.09999999974
2012,50212,0,5503.21,69627.62999999999
2012,50212,1,1635.17,15843.700000000003
2012,50213,0,29523.23,401551.43999999983
2012,50213,1,10536.65,102183.98
2012,50216,0,10838.899999999998,140855.30000000005
2012,50216,1,2795.92,30902.25
2012,50219,0,44777.179999999993,641577.78000000038
2012,50219,1,14099.39,159686.33999999994
2012,50220,0,31920.999999999993,420627.71000000031
2012,50220,1,13117.869999999997,121955.32000000004
2012,50225,0,4139.49,49641.780000000006
2012,50225,1,415.21000000000004,4305.99
2012,50226,0,4180.39,65297.810000000012
2012,50226,1,1739.24,14651.98
2012,50228,0,1488.3100000000002,19402.359999999997
